COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Czech Republic,JAN2010,January 2010,2010,1,January,Combustible renewables,161.174,11,1922.554,,0.020748783741040184
Czech Republic,JAN2010,January 2010,2010,1,January,Other combustible non-renewables,2.013,12,24.01,,0.00025914416513031805
Czech Republic,JAN2010,January 2010,2010,1,January,Not specified,6.5,13,78,,0.0008367794701177683
Czech Republic,JAN2010,January 2010,2010,1,January,Net electricity production,7767.877,14,78302.003,,1
Czech Republic,JAN2010,January 2010,2010,1,January,Total imports,597.964,15,6642,,0.07697907677992327
Czech Republic,JAN2010,January 2010,2010,1,January,Total exports,2118.312,16,21590,,0.2727015373698631
Czech Republic,JAN2010,January 2010,2010,1,January,Electricity supplied,6247.529,17,63354.003,,0.8042775394100602
Czech Republic,JAN2010,January 2010,2010,1,January,Used for pumped storage,64.439,18,794.226,,0.008295574196141364
Czech Republic,JAN2010,January 2010,2010,1,January,Distribution losses,439.235,19,4465.999,,0.05654505085495046
Czech Republic,JAN2010,January 2010,2010,1,January,Final consumption,5743.855,20,58093.776,,0.7394369143589683
Czech Republic,JAN2010,January 2010,2010,1,January,Electricity trade,1520.348,21,14948,,0.1957224605899398
Czech Republic,JAN2010,January 2010,2010,1,January,Renewables,452.812,22,6235.555,,0.05829289006507183
Czech Republic,JAN2010,January 2010,2010,1,January,Non-renewables,7315.065,23,72066.446,,0.941707109934928
Czech Republic,JAN2010,January 2010,2010,1,January,Others,28.585,24,278.969,,0.003679898638971755
Czech Republic,JAN2010,January 2010,2010,1,January,Other renewables aggregated,161.174,25,1922.554,,0.020748783741040184
Czech Republic,JAN2010,January 2010,2010,1,January,Low carbon,3133.181,26,32659.558,,0.4033510056866245
Czech Republic,JAN2010,January 2010,2010,1,January,Fossil fuels,4641.196,27,45720.443,,0.5974857737834932
Denmark,JAN2010,January 2010,2010,1,January,Hydro,2.1,1,21,,0.0005181454537917885
Denmark,JAN2010,January 2010,2010,1,January,Wind,761.902,2,7808.998,,0.18798859882612914
Denmark,JAN2010,January 2010,2010,1,January,Solar,0.134,3,6,,3.3062614670523643e-05
Denmark,JAN2010,January 2010,2010,1,January,Total combustible fuels,3288.78,7,29036.001,,0.8114601931054085
Denmark,JAN2010,January 2010,2010,1,January,Coal,1802.649,8,15915.238,,0.44477827815824456
Denmark,JAN2010,January 2010,2010,1,January,Oil,82.045,9,724.357,,0.02024344940778442
Denmark,JAN2010,January 2010,2010,1,January,Natural gas,838.042,10,7398.912,,0.20677507256503713
Denmark,JAN2010,January 2010,2010,1,January,Combustible renewables,486.871,11,4298.488,,0.12012856915860086
Denmark,JAN2010,January 2010,2010,1,January,Other combustible non-renewables,79.174,12,699.011,,0.019535070551671932
Denmark,JAN2010,January 2010,2010,1,January,Net electricity production,4052.916,14,36871.999,,1
Denmark,JAN2010,January 2010,2010,1,January,Total imports,754,15,10599,,0.18603889150428973
Denmark,JAN2010,January 2010,2010,1,January,Total exports,1288.89,16,11734,,0.3180154733036658
Denmark,JAN2010,January 2010,2010,1,January,Electricity supplied,3518.026,17,35736.999,,0.8680234182006239
Denmark,JAN2010,January 2010,2010,1,January,Distribution losses,265.662,19,2624.001,,0.06554836073582575
Denmark,JAN2010,January 2010,2010,1,January,Final consumption,3252.364,20,33113,,0.8024750574647982
Denmark,JAN2010,January 2010,2010,1,January,Electricity trade,534.89,21,1135,,0.13197658179937605
Denmark,JAN2010,January 2010,2010,1,January,Renewables,1251.007,22,12134.486,,0.3086683760531923
Denmark,JAN2010,January 2010,2010,1,January,Non-renewables,2801.91,23,24737.518,,0.691331870682738
Denmark,JAN2010,January 2010,2010,1,January,Others,161.219,24,1423.368,,0.039778519959456346
Denmark,JAN2010,January 2010,2010,1,January,Other renewables aggregated,486.871,25,4298.488,,0.12012856915860086
Denmark,JAN2010,January 2010,2010,1,January,Low carbon,1251.007,26,12134.486,,0.3086683760531923
Denmark,JAN2010,January 2010,2010,1,January,Fossil fuels,2801.91,27,24737.518,,0.691331870682738
Estonia,JAN2010,January 2010,2010,1,January,Hydro,2.206,1,27,,0.0019463028627238887
Estonia,JAN2010,January 2010,2010,1,January,Wind,15.875,2,277.002,,0.014006145940952735
Estonia,JAN2010,January 2010,2010,1,January,Total combustible fuels,1115.35,7,11428.001,,0.9840475511963233
Estonia,JAN2010,January 2010,2010,1,January,Coal,1019.849,8,10449.489,,0.8997892240462807
Estonia,JAN2010,January 2010,2010,1,January,Oil,3.612,9,37.01,,0.0031867841977147263
Estonia,JAN2010,January 2010,2010,1,January,Natural gas,26.694,10,273.512,,0.023551499826632585
Estonia,JAN2010,January 2010,2010,1,January,Combustible renewables,65.194,11,667.985,,0.05751916084878568
Estonia,JAN2010,January 2010,2010,1,January,Net electricity production,1133.431,14,11732,,1
Estonia,JAN2010,January 2010,2010,1,January,Total imports,96.087,15,1099.999,,0.08477534141910711
Estonia,JAN2010,January 2010,2010,1,January,Total exports,267.938,16,4353.998,,0.23639551062217284
Estonia,JAN2010,January 2010,2010,1,January,Electricity supplied,961.58,17,8478.001,,0.8483798307969342
Estonia,JAN2010,January 2010,2010,1,January,Distribution losses,100.474,19,1047,,0.08864589022181324
Estonia,JAN2010,January 2010,2010,1,January,Final consumption,861.106,20,7430.999,,0.759733940575121
Estonia,JAN2010,January 2010,2010,1,January,Electricity trade,171.851,21,3253.999,,0.15162016920306573
Estonia,JAN2010,January 2010,2010,1,January,Renewables,83.275,22,971.987,,0.0734716096524623
Estonia,JAN2010,January 2010,2010,1,January,Non-renewables,1050.155,23,10760.011,,0.926527508070628
Estonia,JAN2010,January 2010,2010,1,January,Others,3.612,24,37.01,,0.0031867841977147263
Estonia,JAN2010,January 2010,2010,1,January,Other renewables aggregated,65.194,25,667.985,,0.05751916084878568
Estonia,JAN2010,January 2010,2010,1,January,Low carbon,83.275,26,971.987,,0.0734716096524623
